Variable	PEN	PEN_TMD	TMD_MAC_PEN	TMD_PEN	TMD_PEN_MAC
fig.623.1277.peg.3993	0	0	0	0	-0.2051043326250045
fig.623.1277.peg.4413	0	0	0	0	-0.012251858830329369
fig.623.1277.peg.4455	0.012187631023785929	0	0	0	0
fig.623.1277.peg.4460	0.055725195464676275	0	0	0	0
fig.623.1277.peg.4461	0.05587777103042979	0	0	0	0
fig.623.1277.peg.4462	0.05622808445862723	0	0	0	0
fig.623.1277.peg.4463	0.05662573829758424	0	0	0	0
fig.623.1277.peg.4526	0	0	0	0	0.056780837113210685
fig.623.1277.peg.734	-0.025550504762503055	0	0	0	0
fig.623.1278.peg.2525	0	0	-0.04018682721954731	0	0.09176595562415428
fig.623.1278.peg.3467	0	0	0	0	0.06555443820637202
fig.623.1279.peg.4137	0	0	0	0	0.033657042023355066
fig.623.1279.peg.4361	0	0	0	-0.026925939863398373	0
fig.623.1279.peg.4362	0	0	0	0	0.07595884389022448
fig.623.1281.peg.1368	0	0.03892545131821848	0	0	0
fig.623.1281.peg.2454	0	0	0	0.003646431564679652	0
fig.623.1281.peg.2855	0	0	0	0	-0.06223660292891937
fig.623.1281.peg.3094	0.01207405938148483	0	0	0	0
fig.623.1281.peg.3157	0	0.004974924102607855	0	0	0
fig.623.1281.peg.3759	0	0.10723064443546405	0	0	0
fig.623.1281.peg.4081	0	0.06796897854878596	0	0	0
fig.623.1281.peg.4238	0	0	0	0	0.006610811414422119
fig.623.1281.peg.4550	0	0	0	0.0593869629466758	0
fig.623.1282.peg.3722	0.039127816141523615	0	0	0	0
fig.623.1282.peg.4445	0	0	0	0.011158825115947594	0
fig.623.1282.peg.4446	0	0	0	0.011208747539554267	0
fig.623.1283.peg.815	-7.068735916277219e-4	0	0	0	0
fig.623.1284.peg.2477	0	0	0	0.019212952888900358	0
fig.623.1284.peg.4274	0	0	0.04094743925597882	0	0
fig.623.1284.peg.4546	0	0	0.1587541157008892	0	0
fig.623.1284.peg.765	0	0	0.02856758347940061	0	0
fig.623.1285.peg.1401	-0.07045672444154728	0	0	0	0
fig.623.1285.peg.1454	0	0	0.01670939740473805	-0.008859048313769952	0
